S.no,States/Uts,Sanction order no,Date of sanction [DD/MM/YYYY],Date of IFD[DD/MM/YYYY],Total Amount released(actual in Rs),Finanacial Year of sanction order,Total Amount released(in lakh),Released for academic year,Amount released for academic year(in lakh),Amount given in reference data (in lakh),Remark if any
39,Orissa,No.20014/21/2014-Education,12/28/2016,,366992000,2016-17,3669.92,2016-17,3669.92,15556.48,Upload 2 times on MoTA portal.             Data mismatch between portal and reference data
40,Orissa,F.No.20014/21/2012-Education,09/27/2016,,583300000,2016-17,5833,2012-13,5833,,
41,Orissa,F.No.20014/21/2012-Education,07/18/2016,,238364000,2016-17,2383.64,2012-13,2383.64,,
42,Rajasthan,No.20014/22/2012-Education,12/06/2016,,330000000,2016-17,3300,2012-13,3300,,
43,Rajasthan,F.No.20014/22/2012-Education,07/01/2016,,650000000,2016-17,6500,2012-13,6500,,
44,Sikkim,F.No.20014/23/2012-Education,12/28/2016,,34400000,2016-17,344,2016-17,344,,
45,Sikkim,F.No.20014/23/2012-Education,09/27/2016,,50000000,2016-17,500,2012-13,500,,
46,Sikkim,F.No.20014/23/2012-education,07/19/2016,,9416000,2016-17,94.16,2012-13,94.16,,"Upload 2 times on MoTA portal, amount shows 64.16 lakh rs  on portal"
47,Tamil Nadu,F.No.20014/24/2012-Education,09/27/2016,,159400000,2016-17,1594,2012-13,1594,3061.85,Data mismatch between portal and reference data
48,Telangana,F.No.20014/02/2014-Education,12/28/2016,,721800000,2016-17,7218,2016-17,7218,,
49,Telangana,F.No.20014/02/2014-Education,09/27/2016,,426500000,2016-17,4265,2012-13,4265,,
50,Uttar Pradesh,F.No.20014/26/2012-Education,12/27/2016,,12750000,2016-17,127.5,2016-17,127.5,1057.5,Data mismatch between portal and reference data
51,Uttar Pradesh,F.No.20014/26/2012-Education,09/30/2016,,93000000,2016-17,930,2012-13,930,,
52,Uttar Pradesh,F.No.20014/27/2012-Education,07/18/2016,,381457000,2016-17,3814.57,2012-13,3814.57,,
53,Uttrakhand,F.No.20014/27/2012-Education,12/28/2016,,127600000,2016-17,1276,2016-17,1276,,
54,Uttrakhand,N o.20014 / 27/2012-Education,07/18/2016,,381457000,2016-17,3814.57,2012-13,3814.57,,
55,Andhra Pradesh,20014/4/2018-Sch,03/31/2016,,53325000,2015-16,533.25,2015-16,533.25,,Amount shows 0 rs  on portal
56,Andhra Pradesh,20014/4/2018-Sch,03/15/2016,,145356642,2015-16,1453.56642,2015-16,1453.56642,,Amount shows 4443 lakh rs  on portal
57,Arunachal Pradesh,No.20014/04/2012,02/04/2016,,113760800,2015-16,1137.608,2015-16,1137.608,,Amount shows 1138.608 lakh rs  on portal
58,Assam,20014/6/2018-Sch,12/22/2015,,107160000,2015-16,1071.6,2015-16,1071.6,,Amount shows 7244.1 lakh rs  on portal
59,Assam,20014/6/2018-Sch,12/22/2015,,567667797,2015-16,5676.67797,2015-16,5676.67797,,Amount shows 0 rs  on portal
60,Chhattisgarh,20014/8/2018-Sch,09/22/2015,,216483000,2015-16,2164.83,2015-16,2164.83,,Amount shows 0 rs  on portal
61,Chhattisgarh,20014/8/2018-Sch,06/11/2015,,260000000,2015-16,2600,2015-16,2600,,
62,Goa,F.No.20014/01/2016-Education,02/26/2016,,35600000,2015-16,356,2015-16,356,,
63,Gujarat,F.No.20014/09/2012-Education,06/11/2015,,552040000,2015-16,5520.4,2015-16,5520.4,,Amount shows 7000 lakh rs  on portal
64,Himachal Pradesh,F.No.20014/03/2015-Education,06/11/2015,,135000000,2015-16,1350,2015-16,1350,,
66,Jammu and Kashmir,F.No.20014/11/2012-Education,09/24/2015,,249417000,2015-16,2494.17,2015-16,2494.17,,
67,Karnataka,F.No.20014/13/2012-Education,09/24/2015,,583900000,2015-16,5839,2015-16,5839,,
68,Madhya Pradesh,F.No.20014/03/2015-Education,06/11/2015,,306500000,2015-16,3065,2015-16,3065,,
69,Maharashtra,F.No.20014/16/2012-Education,09/24/2015,,520983000,2015-16,5209.83,2015-16,5209.83,,
70,Manipur,,,,,2015-16,,,,3588,"Data not available on MoTA portal, only available in reference data."
71,Meghalaya,F.No.20014/18/2012-Education,02/29/2016,,165023642,2015-16,1650.23642,2015-16,1650.23642,,
72,Meghalaya,F.No.20014/18/2012-Education,02/29/2016,,162437358,2015-16,1624.37358,2015-16,1624.37358,,Amount shows 0 rs  on portal
73,Mizoram,F.No.20014/19/2012-Education,12/31/2015,,492790600,2015-16,4927.906,2015-16,4927.906,,
74,Nagaland,F.No.20014/20/2012-Education,02/04/2016,,264634161,2015-16,2646.34161,2015-16,2646.34161,,
75,Orissa,f.No.20014/03/2015-Education,06/11/2015,,405000000,2015-16,4050,2015-16,4050,,
76,Rajasthan,f.No.20014/22/2012-Education,09/21/2015,,1089043000,2015-16,10890.43,2015-16,10890.43,,
77,Sikkim,F.No.20014/23/2012-Education,09/30/2015,,40000000,2015-16,400,2015-16,400,,
78,Tamil Nadu,F.No.20014/24/2012-Education,09/22/2015,,226686000,2015-16,2266.86,2014-15,2266.86,,Amount shows 0 rs  on portal
79,Telangana,F.No.20014/02/2014-Education,09/30/2015,,350000000,2015-16,3500,2015-16,3500,9650,Data mismatch between portal and reference data
80,Tripura,F.No.20014/25/2012-Education,06/11/2015,,170000000,2015-16,1700,2015-16,1700,,
81,Uttar Pradesh,F.No.20014/27/2012-Education,06/11/2015,,90000000,2015-16,900,2015-16,900,,"Data available on MoTA portal, but not available in reference data."
82,Uttrakhand,,,,,2015-16,,,,900,"Data not available on MoTA portal, only available in reference data."
83,West Bengal,F.No.20014/28/2012-Education,02/29/2016,,294846000,2015-16,2948.46,2015-16,2948.46,,
84,Andaman & Nicobar,F.No.20014/03/2018-Sch,07/02/2014,,75000,2014-15,0.75,2014-15,0.75,,
87,Andhra Pradesh,20014/4/2018-Sch,09/18/2014,,296875750,2014-15,2968.7575,2014-15,2968.7575,,
